2007,3303,2732,3929,9064,7655,10572,7397,6297,8538,NA,AtlanticCounty,combined,County
2008,3409,2888,4023,9390,8034,10816,7805,6787,8872,NA,AtlanticCounty,combined,combined
2009,3135,2652,3665,9708,8342,11126,7582,6575,8595,NA,AtlanticCounty,combined,combined
2010,2897,2250,3666,9069,7714,10541,7263,6083,8360,NA,AtlanticCounty,combined,combined
2011,2666,2258,3135,8540,7367,9933,6507,5671,7485,NA,AtlanticCounty,combined,combined
2012,3021,2635,3477,10446,9205,11811,8246,7362,9262,NA,AtlanticCounty,combined,combined
2013,2779,2125,3525,9905,8359,11586,9077,7908,10423,NA,AtlanticCounty,combined,combined
2014,3021,2393,3704,11211,9557,12979,10222,8789,11587,NA,AtlanticCounty,combined,combined
2015,2681,1989,3573,10885,8982,12917,10608,8892,12292,NA,AtlanticCounty,combined,combined
2016,2692,2073,3399,11469,9565,13626,10928,9287,12633,NA,AtlanticCounty,combined,combined
2017,2781,2113,3648,11762,9743,13900,11283,9521,13147,NA,AtlanticCounty,combined,combined
2018,2852,2108,3767,11630,9369,14247,11048,8913,13224,NA,AtlanticCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,AtlanticCounty,combined,combined
2020,2942,2091,3994,11200,8495,14157,11113,8690,13738,NA,AtlanticCounty,combined,combined
2021,2755,2108,3458,11303,9030,13692,11379,9290,13555,NA,AtlanticCounty,combined,combined
2004,6118,4903,7401,19426,16086,22734,16305,13693,19117,NA,BergenCounty,combined,combined
2005,5674,4232,7297,18499,15132,22351,14946,12238,17961,NA,BergenCounty,combined,combined
2006,6064,5046,7095,19623,16626,22676,16040,13725,18461,NA,BergenCounty,combined,combined
2007,7609,6371,8989,25152,21296,29210,19953,17041,23065,NA,BergenCounty,combined,combined
2008,7816,6594,9143,25885,22071,29878,20385,17619,23334,NA,BergenCounty,combined,combined
2009,8794,7297,10546,27812,23572,32726,22149,18909,25853,NA,BergenCounty,combined,combined
2010,6560,4801,8635,23249,18330,28589,19645,15617,23898,NA,BergenCounty,combined,combined
2011,8435,6614,10559,27164,21673,33225,21704,17631,26244,NA,BergenCounty,combined,combined
2012,6915,5757,8115,24644,20841,28489,20482,17394,23562,NA,BergenCounty,combined,combined
2013,5954,4451,7821,23648,19144,28681,22299,18441,26834,NA,BergenCounty,combined,combined
2014,6575,5206,8053,25778,21413,30777,24177,20258,28268,NA,BergenCounty,combined,combined
2015,5992,4321,8146,25475,19914,31699,23277,18488,28797,NA,BergenCounty,combined,combined
2016,5632,4219,7483,24022,18574,30086,22239,17708,27482,NA,BergenCounty,combined,combined
2017,6702,4860,9193,28193,22695,34995,27010,22089,32204,NA,BergenCounty,combined,combined
2018,6944,4960,9519,28575,21049,36613,27245,20945,34947,NA,BergenCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,BergenCounty,combined,combined
2020,6511,4851,8582,26740,21257,32747,26164,21373,31512,NA,BergenCounty,combined,combined
2021,5976,4855,7107,25401,21350,29868,23973,20401,27959,NA,BergenCounty,combined,combined
2004,4031,3058,5085,10252,8245,12450,8439,6808,10322,NA,BurlingtonCounty,combined,combined
2005,4716,3493,6197,11957,9585,14899,9576,7752,11578,NA,BurlingtonCounty,combined,combined
2006,4943,4110,5854,13371,11358,15610,10038,8575,11619,NA,BurlingtonCounty,combined,combined
2007,5171,4226,6182,14433,12018,16964,10773,9151,12523,NA,BurlingtonCounty,combined,combined
2008,5020,4177,5976,14149,11890,16484,10716,9148,12359,NA,BurlingtonCounty,combined,combined
2009,4806,3969,5734,14411,12119,16910,10777,9199,12510,NA,BurlingtonCounty,combined,combined
2010,4252,3192,5585,14843,12027,18033,10325,8165,12415,NA,BurlingtonCounty,combined,combined
2011,4503,3423,5790,14459,11195,18111,10679,8400,13208,NA,BurlingtonCounty,combined,combined
2012,4620,3823,5546,16094,13490,19016,12390,10548,14448,NA,BurlingtonCounty,combined,combined
2013,3909,2844,5077,14780,12035,18192,12404,10231,14854,NA,BurlingtonCounty,combined,combined
2014,3802,3003,4758,14671,12048,17610,12781,10894,15028,NA,BurlingtonCounty,combined,combined
2015,3568,2692,4724,14227,11512,17303,13995,11391,16680,NA,BurlingtonCounty,combined,combined
2016,3923,2943,4982,15755,12623,19045,15189,12728,17664,NA,BurlingtonCounty,combined,combined
2017,4604,3494,5969,18508,15412,21681,16560,14019,18967,NA,BurlingtonCounty,combined,combined
2018,4629,3313,6148,19390,14786,24371,16393,13088,19638,NA,BurlingtonCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,BurlingtonCounty,combined,combined
2020,4707,3395,6282,16955,13338,21059,17857,14656,21471,NA,BurlingtonCounty,combined,combined
2021,4252,3380,5270,16700,13667,19959,15564,12929,18445,NA,BurlingtonCounty,combined,combined
2004,5104,3986,6513,13074,10808,15891,10103,8302,11945,NA,CamdenCounty,combined,combined
2005,5268,3961,6734,13814,11071,16642,10291,8419,12380,NA,CamdenCounty,combined,combined
2006,5449,4592,6458,14769,12591,17265,10604,9166,12270,NA,CamdenCounty,combined,combined
2007,5517,4540,6613,15373,12878,18251,10989,9293,12845,NA,CamdenCounty,combined,combined
